# f[Hz], a[dB]
3.000000000000000000e+07,3.613071823120117188e+01
3.161666600000000000e+07,3.553472518920898438e+01
3.323333400000000000e+07,3.586480331420898438e+01
3.485000000000000000e+07,3.495243453979492188e+01
3.646666800000000000e+07,3.573654937744140625e+01
3.808333200000000000e+07,3.572079467773437500e+01
3.970000000000000000e+07,3.462556076049804688e+01
4.131666800000000000e+07,3.520195388793945312e+01
4.293333200000000000e+07,3.497060394287109375e+01
4.455000000000000000e+07,3.502693557739257812e+01
4.616666800000000000e+07,3.575876235961914062e+01
4.778333200000000000e+07,3.527040100097656250e+01
4.940000000000000000e+07,3.510289001464843750e+01
5.101666800000000000e+07,3.520851516723632812e+01
5.263333200000000000e+07,3.473125839233398438e+01
5.425000000000000000e+07,3.538872528076171875e+01
5.586666800000000000e+07,3.481393051147460938e+01
5.748333200000000000e+07,3.574996566772460938e+01
5.910000000000000000e+07,3.616745376586914062e+01
6.071666800000000000e+07,3.567150878906250000e+01
6.233333200000000000e+07,3.592362594604492188e+01
6.395000000000000000e+07,3.615948486328125000e+01
6.556666800000000000e+07,3.559960937500000000e+01
6.718333600000000000e+07,3.590035629272460938e+01
6.880000000000000000e+07,3.630339431762695312e+01
7.041666400000000000e+07,3.551000976562500000e+01
7.203333600000000000e+07,3.598466873168945312e+01
7.365000000000000000e+07,3.624889373779296875e+01
7.526666400000000000e+07,3.585037231445312500e+01
7.688333600000000000e+07,3.656785202026367188e+01
7.850000000000000000e+07,3.549361038208007812e+01
8.011666400000000000e+07,3.601066970825195312e+01
8.173333600000000000e+07,3.543523406982421875e+01
8.335000000000000000e+07,3.605392074584960938e+01
8.496666400000000000e+07,3.581015396118164062e+01
8.658333600000000000e+07,3.645361328125000000e+01
8.820000000000000000e+07,3.569215393066406250e+01
8.981666400000000000e+07,3.624918746948242188e+01
9.143333600000000000e+07,3.604209899902343750e+01
9.305000000000000000e+07,3.645384979248046875e+01
9.466666400000000000e+07,3.615306854248046875e+01
9.628333600000000000e+07,3.632031250000000000e+01
9.790000000000000000e+07,3.659806823730468750e+01
9.951666400000000000e+07,3.640335464477539062e+01
1.011333360000000000e+08,3.612907791137695312e+01
1.027500000000000000e+08,3.600852584838867188e+01
