# f[Hz], a[dB]
3.000000000000000000e+07,3.505646896362304688e+01
3.161666600000000000e+07,3.523379516601562500e+01
3.323333400000000000e+07,3.544437408447265625e+01
3.485000000000000000e+07,3.530981063842773438e+01
3.646666800000000000e+07,3.609051895141601562e+01
3.808333200000000000e+07,3.568066787719726562e+01
3.970000000000000000e+07,3.548519515991210938e+01
4.131666800000000000e+07,3.524831008911132812e+01
4.293333200000000000e+07,3.507592010498046875e+01
4.455000000000000000e+07,3.538989257812500000e+01
4.616666800000000000e+07,3.460202026367187500e+01
4.778333200000000000e+07,3.548568344116210938e+01
4.940000000000000000e+07,3.526372528076171875e+01
5.101666800000000000e+07,3.590526199340820312e+01
5.263333200000000000e+07,3.512690353393554688e+01
5.425000000000000000e+07,3.557386779785156250e+01
5.586666800000000000e+07,3.465692901611328125e+01
5.748333200000000000e+07,3.604939270019531250e+01
5.910000000000000000e+07,3.541619491577148438e+01
6.071666800000000000e+07,3.520123672485351562e+01
6.233333200000000000e+07,3.553084182739257812e+01
6.395000000000000000e+07,3.561186599731445312e+01
6.556666800000000000e+07,3.587784957885742188e+01
6.718333600000000000e+07,3.575089263916015625e+01
6.880000000000000000e+07,3.545330810546875000e+01
7.041666400000000000e+07,3.569891738891601562e+01
7.203333600000000000e+07,3.614285278320312500e+01
7.365000000000000000e+07,3.576403808593750000e+01
7.526666400000000000e+07,3.567541503906250000e+01
7.688333600000000000e+07,3.565637969970703125e+01
7.850000000000000000e+07,3.552224731445312500e+01
8.011666400000000000e+07,3.557745361328125000e+01
8.173333600000000000e+07,3.620833206176757812e+01
8.335000000000000000e+07,3.608246994018554688e+01
8.496666400000000000e+07,3.588685607910156250e+01
8.658333600000000000e+07,3.652515029907226562e+01
8.820000000000000000e+07,3.606159973144531250e+01
8.981666400000000000e+07,3.578500747680664062e+01
9.143333600000000000e+07,3.597636032104492188e+01
9.305000000000000000e+07,3.634831237792968750e+01
9.466666400000000000e+07,3.615446472167968750e+01
9.628333600000000000e+07,3.612214279174804688e+01
9.790000000000000000e+07,3.657447052001953125e+01
9.951666400000000000e+07,3.602722167968750000e+01
1.011333360000000000e+08,3.569925689697265625e+01
1.027500000000000000e+08,3.632548904418945312e+01
1.043666640000000000e+08,3.624058532714843750e+01
1.059833360000000000e+08,3.573822784423828125e+01
1.076000000000000000e+08,3.610124206542968750e+01
1.092166640000000000e+08,3.603482818603515625e+01
1.108333360000000000e+08,3.652577972412109375e+01
